,tag,cohen_h,level
34272,Arcade,0.22526498179202126,0
31994,Casual,0.21725825285034395,0
29802,2D,0.1757011429149138,0
97207,Platformer,0.17355603200275926,0
26847,2D Platformer,0.17338513040531855,0
47221,Indie,0.17326430934918857,0
34278,Score Attack,0.17068112239628563,0
94845,Precision Platformer,0.16260339320512152,0
87369,Puzzle Platformer,0.15408206811204905,0
112316,Minimalist,0.1472756964745615,0
31998,Puzzle,0.1461177338182582,0
34273,Family Friendly,0.1374749084001342,0
116521,Logic,0.13119954806730283,0
31995,Colorful,0.12512231992392442,0
47220,Controller,0.12329976327127501,0
29805,Singleplayer,0.12085402162156234,0
203890,Bullet Hell,0.10874367165753362,0
121246,Top-Down Shooter,0.10871453499742662,0
29804,Pixel Graphics,0.1071553824045215,0
49388,Top-Down,0.10520137298407828,0
29742,Mystery,0.12183814680367366,1
29741,Linear,0.09395390023560768,1
168255,Time Manipulation,0.09109950564759192,1
52784,Otome,0.08934723603731001,1
76568,Walking Simulator,0.08446208563620294,1
38661,Minimalist,0.08293935111889894,1
527519,Escape Room,0.08204281618031095,1
29740,Indie,0.08200061052492758,1
559777,Vampire,0.08051001114843448,1
26737,2D,0.0722823060583051,1
87100,Surreal,0.07121875970879998,1
29708,2D Platformer,0.06574572130858025,1
330986,Minigames,0.06468398526047514,1
35036,Multiple Endings,0.06001979827859716,1
32736,Visual Novel,0.059790572577794965,1
607042,Trading Card Game,0.058286118361757844,1
381740,Rock Music,0.05801987915786444,1
55685,Platformer,0.05627881190783279,1
58753,Psychological,0.055741195232550556,1
90076,Metroidvania,0.05561916702388531,1
52785,Detective,0.1229383355094879,2
64529,Thriller,0.1127780322188302,2
38416,Anime,0.10931866703539417,2
92643,Psychological,0.09308651817043928,2
44529,Adventure,0.09225063786669763,2
90063,Psychological Horror,0.09140688499618266,2
578185,Assassin,0.0898772689620512,2
4804,Idler,0.08797438520496781,2
436324,Crime,0.08781306172720138,2
180227,Medieval,0.0818506895387775,2
41797,Violent,0.08142836163574108,2
72242,Dark,0.08033276236868292,2
26801,Interactive Fiction,0.07994007187226049,2
143375,CRPG,0.07849703996628915,2
76567,Visual Novel,0.07572975452889597,2
38378,Story Rich,0.07531243836124024,2
1384,Exploration,0.07517304117362911,2
4283,Cute,0.07313549713366085,2
38417,RPG,0.07180873262380971,2
18016,Multiple Endings,0.07158642421069372,2
1440,Simulation,0.25964225581421707,3
1005,Management,0.2546767164492061,3
1198,Early Access,0.23700423703629403,3
17297,Building,0.2264354615699078,3
17925,Base Building,0.2251491378766033,3
7448,Immersive Sim,0.22033497381604383,3
3883,Life Sim,0.21345352115111105,3
10956,Crafting,0.21154597752039495,3
14808,Economy,0.20499827617050753,3
11043,Sandbox,0.20049651516195455,3
23649,Resource Management,0.18748123456310606,3
7194,Open World,0.17815931835794419,3
14881,3D,0.17662385373624767,3
14689,Online Co-Op,0.1744988492810543,3
3884,Realistic,0.1733673893230806,3
891,RPG,0.16122087033492094,3
4546,Co-op,0.1612067820236215,3
7642,RTS,0.15833234257788154,3
101329,Trading,0.157265527094328,3
14301,Grand Strategy,0.15596907622543815,3
